name,FDof Study Area
T2航站楼,268
T3航站楼,209
万源街,1748
东单,2330
东四,2050
东四十条,3544
东夏园,93
东直门,2429
中国美术馆,1926
临河里,938
义和庄,68
九棵树,1600
五福堂,456
亦庄文化园,1038
亦庄桥,628
亦庄火车站,68
什刹海,1600
俸伯,148
前门,1134
北京站,1987
北新桥,2174
北海北,832
北运河东,111
北运河西,624
北邵洼,75
十三陵景区,200
南法信,321
南礼士路,1927
南邵,183
南锣鼓巷,1620
同济南路,461
后沙峪,357
和平里北街,1757
和平门,1397
国展,1474
土桥,829
复兴门,1991
天坛东门,944
天安门东,655
天安门西,380
天宫院,278
天桥,897
安定门,1655
安德里北街,1122
宣武门,1768
崇文门,2511
平安里,1554
广安门内,1768
广渠门内,2195
广渠门外,1201
广阳城,223
张自忠路,1866
德茂,194
房山城关,738
新街口,1749
旧宫,1106
昌平,3354
昌平东关,713
昌平西山口,69
星城,252
景泰,1353
木樨地,1286
果园,1747
枣园,1384
桥湾,1345
梨园,1701
次渠,156
次渠南,286
永定门外,1033
清源路,1537
湾子,2063
潞城,135
瀛海,294
灯市口,2913
灵境胡同,2216
燕山,339
物资学院路,566
王府井,2517
珠市口,1773
生物医药基地,825
石门,1646
磁器口,2772
积水潭,1537
篱笆房,160
经海路,422
良乡南关,1260
良乡大学城,248
良乡大学城北,105
良乡大学城西,616
花梨坎,322
苏庄,899
荣京东街,1108
荣昌东街,955
菜市口,1589
虎坊桥,1638
西单,2052
西四,1444
西直门,2627
西红门,1289
车公庄,2168
车公庄西,1770
达官营,1731
通州北关,495
通州北苑,2318
郝家府,58
长椿街,1631
阎村东,130
阜成门,2216
陶然亭,1306
雍和宫,1690
顺义,2099
饶乐府,223
马各庄,197
高米店北,966
高米店南,1243
黄村火车站,1033
黄村西大街,2139
鼓楼大街,1480
