name,BD of Study Area
T2航站楼,0.0685989237950606
T3航站楼,0.0789965021157477
万源街,0.2211188736016415
东单,0.2885912770658694
东四,0.3396087616817463
东四十条,0.268650564737416
东夏园,0.0787604102462428
东直门,0.2277231611874714
中国美术馆,0.3370809960214299
临河里,0.1280644005706929
义和庄,0.0527414037055337
九棵树,0.2106002842137189
五福堂,0.1686807946528396
亦庄文化园,0.1265492187570348
亦庄桥,0.1379516341878172
亦庄火车站,0.0697635186981256
什刹海,0.3374818178486711
俸伯,0.085480022993432
前门,0.2904482335457535
北京站,0.2649193647527814
北新桥,0.3316728937102298
北海北,0.230659517133405
北运河东,0.0366940674807287
北运河西,0.1398182763394315
北邵洼,0.0667549466914166
十三陵景区,0.115635013680107
南法信,0.1557075743680791
南礼士路,0.2415801120710441
南邵,0.0797635504882667
南锣鼓巷,0.3857772511891158
同济南路,0.21615874987834
后沙峪,0.1020568523246044
和平里北街,0.2577486797260208
和平门,0.307705401826054
国展,0.1782795986769835
土桥,0.1444275810834145
复兴门,0.242839478354246
天坛东门,0.1919201697815287
天安门东,0.2249744757301448
天安门西,0.1909336315755884
天宫院,0.1058349250827282
天桥,0.2186666955173488
安定门,0.2619458271054543
安德里北街,0.280572483044001
宣武门,0.2923058502542873
崇文门,0.2665000564754125
平安里,0.3389241875446122
广安门内,0.2853028735818471
广渠门内,0.2696538750399189
广渠门外,0.2124295753791867
广阳城,0.0995916832438177
张自忠路,0.3261071472045
德茂,0.0920733446406155
房山城关,0.134435005545467
新街口,0.3096496715925856
旧宫,0.1871087251996866
昌平,0.2852311472636101
昌平东关,0.115115598756717
昌平西山口,0.0761475282824755
星城,0.1194933514589302
景泰,0.339422528307663
木樨地,0.2500743574701589
果园,0.2246172709281848
枣园,0.189462068304666
桥湾,0.2587217168409451
梨园,0.1953978124620681
次渠,0.0430277646982937
次渠南,0.0934955201814068
永定门外,0.2750855389225601
清源路,0.2146121725816312
湾子,0.239247603025577
潞城,0.0561736419861013
瀛海,0.1286300435388192
灯市口,0.330473253336387
灵境胡同,0.3302069244505303
燕山,0.1213404355407604
物资学院路,0.1242401870642022
王府井,0.2786474917739721
珠市口,0.3102340462312282
生物医药基地,0.1437012859893758
石门,0.1984661712026132
磁器口,0.256365862119577
积水潭,0.2620507726723113
篱笆房,0.0521303998776463
经海路,0.1741696066331473
良乡南关,0.170411257002994
良乡大学城,0.0611052472425433
良乡大学城北,0.0919120525810969
良乡大学城西,0.1216686477665005
花梨坎,0.1543048266760094
苏庄,0.1740384004573769
荣京东街,0.1930135913852773
荣昌东街,0.2257866829529623
菜市口,0.2536531290173993
虎坊桥,0.3042424301991734
西单,0.2833566168490741
西四,0.3650711826904114
西直门,0.2550115526408743
西红门,0.153727433220765
车公庄,0.2741089493352497
车公庄西,0.2896050386671147
达官营,0.2123021651198373
通州北关,0.0946235831028222
通州北苑,0.216313968600399
郝家府,0.0430753083460482
长椿街,0.2813966651344061
阎村东,0.1146382959218968
阜成门,0.2795154803605932
陶然亭,0.2633730123216418
雍和宫,0.2550359107174162
顺义,0.2074897080217486
饶乐府,0.1262086986423022
马各庄,0.087239074013627
高米店北,0.1823318599913359
高米店南,0.1614106968721069
黄村火车站,0.1940696286627621
黄村西大街,0.2252278789789601
鼓楼大街,0.2993292875713475
