name,FM of Regulated Area
T2航站楼,3.2838777066554043
T3航站楼,3.459389038394335
万源街,3.3979189085162456
东单,3.7259336257395512
东四,4.062718508830107
东四十条,3.185451479766912
东夏园,2.133381930264545
东直门,3.810165443575948
中国美术馆,3.9502448109566366
临河里,3.4873187314847387
义和庄,2.5164103001539404
九棵树,3.771045972031534
五福堂,3.471285553673104
亦庄文化园,3.55842374821568
亦庄桥,3.5707713960327023
亦庄火车站,1.7075391741350712
什刹海,3.4216889671476984
俸伯,3.35066591250624
前门,3.60754925264377
北京站,3.707090746349942
北新桥,3.702211951039694
北海北,3.684347197872921
北运河东,2.3419942522324244
北运河西,3.425708855888052
北邵洼,2.779915935523865
十三陵景区,2.1644484652821765
南法信,2.7972906700641142
南礼士路,3.628970336349148
南邵,3.208168786468754
南锣鼓巷,3.795382206411643
同济南路,2.81394713905547
后沙峪,2.552229142699323
和平里北街,3.807980111143316
和平门,3.880272125166582
国展,0.6542470805626753
土桥,3.324502945252734
复兴门,3.941321738032965
天坛东门,3.518003953669857
天安门东,2.6289610024393806
天安门西,2.235177307997703
天宫院,3.108955200210646
天桥,3.8828630041872847
安定门,3.569587977731609
安德里北街,3.627849996601899
宣武门,3.71918365413692
崇文门,3.852729719571416
平安里,3.864348528082377
广安门内,3.66923591710194
广渠门内,3.976621973932384
广渠门外,3.680415312242086
广阳城,2.919239624166476
张自忠路,3.612806628152684
德茂,1.6762349391347309
房山城关,3.624995277561575
新街口,3.9772706537493048
旧宫,3.618463102150239
昌平,3.725636950170704
昌平东关,3.878397960261292
昌平西山口,1.9459101490553128
星城,3.4108855710447594
景泰,3.668041130411223
木樨地,3.540280991178844
果园,3.671533033584834
枣园,3.691545668324759
桥湾,3.751426433354162
梨园,3.6140213229404816
次渠,2.5026614364092272
次渠南,1.4105135571148382
永定门外,3.21914532471869
清源路,3.820881886951904
湾子,3.5858142189824003
潞城,3.2445668030684507
瀛海,3.234085184791782
灯市口,3.940851949899768
灵境胡同,4.068522691706663
燕山,3.604509197053788
物资学院路,3.446193721043404
王府井,3.881451699290192
珠市口,3.515607768511898
生物医药基地,3.475149017440761
石门,3.9612402809279055
磁器口,3.556013957148611
积水潭,3.43036585971302
篱笆房,3.557385369798421
经海路,2.5686693082669154
良乡南关,3.604247349729976
良乡大学城,2.943535550586143
良乡大学城北,2.614160943630355
良乡大学城西,3.488254498095085
花梨坎,2.8943722146047253
苏庄,3.6967296369498577
荣京东街,2.751348425508468
荣昌东街,2.415298091327123
菜市口,3.626829032187623
虎坊桥,3.5637275644975768
西单,3.7683871972152287
西四,3.771437760823965
西直门,3.82973780393434
西红门,3.730592708974608
车公庄,3.7173654940549135
车公庄西,3.899209583082392
达官营,3.781272386253741
通州北关,2.757294176730242
通州北苑,3.492872076496424
郝家府,2.282374376159249
长椿街,3.979318903367816
阎村东,2.138333059508028
阜成门,3.8360866118407926
陶然亭,3.827798771114955
雍和宫,3.562805789418087
顺义,4.123669894127664
饶乐府,2.985430446821565
马各庄,3.066881650923312
高米店北,3.613044253975494
高米店南,3.535552442102606
黄村火车站,3.737671762110084
黄村西大街,3.917552556112042
鼓楼大街,3.5742437827046625
